id,month,month_name,quarter,year,fy,fy_num,fy_month,banks_live,volume_mn,value_cr
1,2016-04-01,Apr,2,2016,FY2016-17,2017,1,21,0.0,0.0
2,2016-05-01,May,2,2016,FY2016-17,2017,2,21,0.0,0.0
3,2016-06-01,Jun,2,2016,FY2016-17,2017,3,21,0.0,0.0
4,2016-07-01,Jul,3,2016,FY2016-17,2017,4,21,0.09,0.38
5,2016-08-01,Aug,3,2016,FY2016-17,2017,5,21,0.09,3.09
6,2016-09-01,Sep,3,2016,FY2016-17,2017,6,25,0.09,32.64
7,2016-10-01,Oct,4,2016,FY2016-17,2017,7,26,0.1,48.57
8,2016-11-01,Nov,4,2016,FY2016-17,2017,8,30,0.29,100.46
9,2016-12-01,Dec,4,2016,FY2016-17,2017,9,35,1.99,707.93
10,2017-01-01,Jan,1,2017,FY2016-17,2017,10,36,4.46,1696.22
11,2017-02-01,Feb,1,2017,FY2016-17,2017,11,44,4.38,1937.71
12,2017-03-01,Mar,1,2017,FY2016-17,2017,12,44,6.37,2425.14
13,2017-04-01,Apr,2,2017,FY2017-18,2018,1,48,7.2,2271.24
14,2017-05-01,May,2,2017,FY2017-18,2018,2,49,9.36,2797.07
15,2017-06-01,Jun,2,2017,FY2017-18,2018,3,52,10.35,3098.36
16,2017-07-01,Jul,3,2017,FY2017-18,2018,4,53,11.63,3411.35
17,2017-08-01,Aug,3,2017,FY2017-18,2018,5,55,16.8,4156.62
18,2017-09-01,Sep,3,2017,FY2017-18,2018,6,57,30.98,5325.81
19,2017-10-01,Oct,4,2017,FY2017-18,2018,7,60,76.96,7057.78
20,2017-11-01,Nov,4,2017,FY2017-18,2018,8,61,105.02,9669.33
21,2017-12-01,Dec,4,2017,FY2017-18,2018,9,67,145.64,13174.24
22,2018-01-01,Jan,1,2018,FY2017-18,2018,10,71,151.83,15571.2
23,2018-02-01,Feb,1,2018,FY2017-18,2018,11,86,171.4,19126.2
24,2018-03-01,Mar,1,2018,FY2017-18,2018,12,91,178.05,24172.6
25,2018-04-01,Apr,2,2018,FY2018-19,2019,1,97,190.08,27021.85
26,2018-05-01,May,2,2018,FY2018-19,2019,2,101,189.48,33288.51
27,2018-06-01,Jun,2,2018,FY2018-19,2019,3,110,246.37,40834.03
28,2018-07-01,Jul,3,2018,FY2018-19,2019,4,114,273.75,51843.14
29,2018-08-01,Aug,3,2018,FY2018-19,2019,5,114,312.02,54212.26
30,2018-09-01,Sep,3,2018,FY2018-19,2019,6,122,405.87,59835.36
31,2018-10-01,Oct,4,2018,FY2018-19,2019,7,128,482.36,74978.27
32,2018-11-01,Nov,4,2018,FY2018-19,2019,8,128,524.94,82232.21
33,2018-12-01,Dec,4,2018,FY2018-19,2019,9,129,620.17,102594.82
34,2019-01-01,Jan,1,2019,FY2018-19,2019,10,134,672.75,109932.43
35,2019-02-01,Feb,1,2019,FY2018-19,2019,11,139,674.19,106737.12
