month,month_name,fy,fy_month,volume_mn,value_cr,mom_growth_pct,yoy_growth_pct,vol_3m_avg
2016-04-01,Apr,FY2016-17,1,0.0,0.0,,,0.0
2016-05-01,May,FY2016-17,2,0.0,0.0,,,0.0
2016-06-01,Jun,FY2016-17,3,0.0,0.0,,,0.0
2016-07-01,Jul,FY2016-17,4,0.09,0.38,,,0.03
2016-08-01,Aug,FY2016-17,5,0.09,3.09,0.0,,0.06
2016-09-01,Sep,FY2016-17,6,0.09,32.64,0.0,,0.09
2016-10-01,Oct,FY2016-17,7,0.1,48.57,11.1,,0.09
2016-11-01,Nov,FY2016-17,8,0.29,100.46,190.0,,0.16
2016-12-01,Dec,FY2016-17,9,1.99,707.93,586.2,,0.79
2017-01-01,Jan,FY2016-17,10,4.46,1696.22,124.1,,2.25
2017-02-01,Feb,FY2016-17,11,4.38,1937.71,-1.8,,3.61
2017-03-01,Mar,FY2016-17,12,6.37,2425.14,45.4,,5.07
2017-04-01,Apr,FY2017-18,1,7.2,2271.24,13.0,,5.98
2017-05-01,May,FY2017-18,2,9.36,2797.07,30.0,,7.64
2017-06-01,Jun,FY2017-18,3,10.35,3098.36,10.6,,8.97
2017-07-01,Jul,FY2017-18,4,11.63,3411.35,12.4,12822.2,10.45
2017-08-01,Aug,FY2017-18,5,16.8,4156.62,44.5,18566.7,12.93
2017-09-01,Sep,FY2017-18,6,30.98,5325.81,84.4,34322.2,19.8
2017-10-01,Oct,FY2017-18,7,76.96,7057.78,148.4,76860.0,41.58
2017-11-01,Nov,FY2017-18,8,105.02,9669.33,36.5,36113.8,70.99
2017-12-01,Dec,FY2017-18,9,145.64,13174.24,38.7,7218.6,109.21
2018-01-01,Jan,FY2017-18,10,151.83,15571.2,4.3,3304.3,134.16
2018-02-01,Feb,FY2017-18,11,171.4,19126.2,12.9,3813.2,156.29
2018-03-01,Mar,FY2017-18,12,178.05,24172.6,3.9,2695.1,167.09
2018-04-01,Apr,FY2018-19,1,190.08,27021.85,6.8,2540.0,179.84
2018-05-01,May,FY2018-19,2,189.48,33288.51,-0.3,1924.4,185.87
2018-06-01,Jun,FY2018-19,3,246.37,40834.03,30.0,2280.4,208.64
2018-07-01,Jul,FY2018-19,4,273.75,51843.14,11.1,2253.8,236.53
2018-08-01,Aug,FY2018-19,5,312.02,54212.26,14.0,1757.3,277.38
2018-09-01,Sep,FY2018-19,6,405.87,59835.36,30.1,1210.1,330.55
2018-10-01,Oct,FY2018-19,7,482.36,74978.27,18.8,526.8,400.08
2018-11-01,Nov,FY2018-19,8,524.94,82232.21,8.8,399.8,471.06
2018-12-01,Dec,FY2018-19,9,620.17,102594.82,18.1,325.8,542.49
2019-01-01,Jan,FY2018-19,10,672.75,109932.43,8.5,343.1,605.95
2019-02-01,Feb,FY2018-19,11,674.19,106737.12,0.2,293.3,655.7
2019-03-01,Mar,FY2018-19,12,799.54,133460.72,18.6,349.1,715.49
2019-04-01,Apr,FY2019-20,1,781.79,142034.39,-2.2,311.3,751.84
2019-05-01,May,FY2019-20,2,733.54,152449.29,-6.2,287.1,771.62
